"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.2,1,0.264930555555556,0.00367759622015654,1,10,0.2,1,0
0.8,0,0.836197916666667,0.00188866222409368,1,10,0.2,1,0
0.8,1,0.864913194444444,0.00142424680996053,1,10,0.2,1,0
0.2,0,0.0759375,0.00270374559511879,1,10,0.2,1,1
0.2,1,0.262013888888889,0.00366454521782209,1,10,0.2,1,1
0.8,0,0.837317708333333,0.00188345531764346,1,10,0.2,1,1
0.8,1,0.867847222222222,0.00141108220545872,1,10,0.2,1,1
0.2,0,0.0778125,0.00273414349752226,1,10,0.2,1,3
0.2,1,0.268680555555556,0.00369407333891949,1,10,0.2,1,3
0.8,0,0.836328125,0.0018880583962826,1,10,0.2,1,3
0.8,1,0.867135416666667,0.00141429695226343,1,10,0.2,1,3
0.2,0,0.0785416666666667,0.00274583800373082,1,10,0.2,1,4
0.2,1,0.257986111111111,0.0036461792427137,1,10,0.2,1,4
